,Name,Year,Tv Certificate,Duration per episode,Genre,Ratings,Actor/Actress,Votes
162,The Last Ship,2014–2018,TV-14 , 60 min ," Action, Drama, Sci-Fi",7.4," Eric Dane, Adam Baldwin, Charles Parnell, Travis Van Winkle"," 59,368"
163,The Nevers,2021– ,TV-MA , 58 min ," Action, Drama, Fantasy",7.4," Laura Donnelly, Ann Skelly, Olivia Williams, James Norton"," 24,187"
164,Revenge,2011–2015,TV-14 , 44 min ," Drama, Mystery, Thriller",7.8," Madeleine Stowe, Emily VanCamp, Gabriel Mann, Nick Wechsler"," 120,474"
165,Burn Notice,2007–2013,TV-PG , 44 min ," Action, Crime, Drama",8.0," Jeffrey Donovan, Gabrielle Anwar, Bruce Campbell, Sharon Gless"," 75,088"
166,All of Us Are Dead,2022– ,TV-MA , 60 min ," Action, Drama, Fantasy",7.5," Park Ji-hu, Chan-Young Yoon, Yi-Hyun Cho, Park Solomon"," 49,767"
167,Bates Motel,2013–2017,TV-MA , 45 min ," Drama, Horror, Mystery",8.1," Vera Farmiga, Freddie Highmore, Max Thieriot, Nicola Peltz Beckham"," 108,713"
168,Blindspot,2015–2020,TV-14 , 42 min ," Action, Crime, Drama",7.3," Sullivan Stapleton, Jaimie Alexander, Audrey Esparza, Ashley Johnson"," 74,401"
169,Raised by Wolves,2020–2022,TV-MA ,," Drama, Fantasy, Sci-Fi",7.5," Travis Fimmel, Amanda Collin, Abubakar Salim, Winta McGrath"," 79,192"
170,Breathe: Into the Shadows,2020– ,,46 min ," Drama, Thriller",7.6," Abhishek Bachchan, Amit Sadh, Nithya Menen, Ivana Kaur"," 17,297"
171,Tales of the Walking Dead,2022– ,TV-MA , 44 min ," Drama, Fantasy, Horror",6.0," Samantha Morton, Parker Posey, Anthony Edwards, Jessie T. Usher"," 3,755"
172,Lie to Me,2009–2011,TV-14 , 43 min ," Crime, Drama, Mystery",8.0," Tim Roth, Kelli Williams, Brendan Hines, Monica Raymund"," 120,826"
173,Dragon Ball Z,1989–1996,TV-PG , 24 min ," Animation, Action, Adventure",8.8," Doc Harris, Christopher Sabat, Scott McNeil, Sean Schemmel"," 131,450"
174,The Outlaws,2021– ,TV-MA ,," Comedy, Crime, Drama",7.7," Rhianne Barreto, Darren Boyd, Gamba Cole, Charles Babalola"," 12,134"
175,Madam Secretary,2014– ,TV-PG , 45 min ," Drama, Thriller",7.7," Téa Leoni, Tim Daly, Erich Bergen, Zeljko Ivanek"," 23,522"
176,City on a Hill,2019–2022,TV-MA , 60 min ," Crime, Drama, Thriller",7.6," Kevin Bacon, Aldis Hodge, Lauren E. Banks, Jill Hennessy"," 13,873"
177,Mukhbir: The Story of a Spy,2022– ,,40 min ," Drama, Mystery, Thriller",7.8," Zain Khan Durrani, Prakash Raj, Dilip Shankar, Satyadeep Misra"," 1,283"
178,The Outsider,2020,TV-MA , 60 min ," Crime, Drama, Fantasy",7.7," Ben Mendelsohn, Bill Camp, Jeremy Bobb, Mare Winningham"," 83,471"
179,Twin Peaks,2017,TV-MA , 60 min ," Crime, Drama, Horror",8.5," Kyle MacLachlan, Sheryl Lee, Michael Horse, Chrysta Bell"," 68,141"
180,Black Clover,2017–2021,TV-PG , 24 min ," Animation, Action, Adventure",8.3," Dallas Reid, Jill Harris, Cris George, Christopher Sabat"," 23,693"
181,Sense8,2015–2018,TV-MA , 60 min ," Drama, Mystery, Sci-Fi",8.2," Bae Doona, Jamie Clayton, Tina Desai, Tuppence Middleton"," 154,982"
182,New Tricks,2003–2015,TV-14 , 60 min ," Comedy, Crime, Drama",7.9," Dennis Waterman, Amanda Redman, Alun Armstrong, James Bolam"," 7,589"
183,Legion,2017–2019,TV-MA , 60 min ," Action, Drama, Sci-Fi",8.2," Dan Stevens, Rachel Keller, Aubrey Plaza, Bill Irwin"," 91,558"
184,Dark Winds,2022– ,TV-MA , 49 min ," Crime, Drama, Thriller",7.6," Zahn McClarnon, Kiowa Gordon, Jessica Matten, Deanna Allison"," 8,571"
185,The Shield,2002–2008,TV-MA , 47 min ," Crime, Drama, Thriller",8.7," Michael Chiklis, Jay Karnes, Michael Jace, CCH Pounder"," 81,314"
186,Dark Desire,2020–2022,TV-MA , 30 min ," Drama, Mystery, Thriller",6.5," Maite Perroni, Erik Hayser, Jorge Poza, Regina Pavón"," 7,919"
187,The Bridge,2011–2018,TV-MA , 60 min ," Crime, Mystery, Thriller",8.6," Sofia Helin, Rafael Pettersson, Sarah Boberg, Dag Malmberg"," 69,666"
188,Jessica Jones,2015–2019,TV-MA , 56 min ," Action, Crime, Drama",7.9," Krysten Ritter, Rachael Taylor, Eka Darville, Carrie-Anne Moss"," 215,177"
189,CSI: NY,2004–2013,TV-14 , 43 min ," Action, Crime, Drama",6.9," Gary Sinise, Carmine Giovinazzo, Hill Harper, Eddie Cahill"," 47,402"
190,Truth Be Told,2019– ,TV-MA , 45 min ," Crime, Drama, Mystery",7.1," Octavia Spencer, Ron Cephas Jones, Rico E. Anderson, Mekhi Phifer"," 12,976"
191,Alias,2001–2006,TV-14 , 42 min ," Action, Drama, Mystery",7.6," Jennifer Garner, Ron Rifkin, Carl Lumbly, Kevin Weisman"," 51,341"
192,García!,2022,,60 min ," Action, Adventure, Drama",6.0," Francisco Ortiz, Veki Velilla, Emilio Gutiérrez Caba, Francisco Reyes", 504
193,Miami Vice,1984–1989,TV-14 , 48 min ," Action, Crime, Drama",7.5," Don Johnson, Philip Michael Thomas, Saundra Santiago, Olivia Brown"," 27,081"
194,The Practice,1997–2004,TV-14 , 60 min ," Crime, Drama, Mystery",7.7," Dylan McDermott, Kelli Williams, Lara Flynn Boyle, Steve Harris"," 9,383"
195,Gomorrah,2014–2021,TV-MA , 55 min ," Crime, Drama, Thriller",8.7," Salvatore Esposito, Marco D'Amore, Ivana Lotito, Cristiana Dell'Anna"," 40,061"
196,The Rain,2018–2020,TV-MA , 45 min ," Drama, Sci-Fi, Thriller",6.3," Alba August, Lucas Lynggaard Tønnesen, Mikkel Boe Følsgaard, Lukas Løkken"," 37,586"
197,Strike Back,2010–2020,TV-MA , 45 min ," Action, Drama, Thriller",8.1," Philip Winchester, Sullivan Stapleton, Michelle Lukes, Daniel MacPherson"," 31,971"
198,Vadhandhi: The Fable of Velonie,2022– ,,,"Drama, Thriller",8.7," S.J. Suryah, Sanjana, Laila, Nassar"," 1,478"
199,Mr. Mercedes,2017–2019,TV-MA , 60 min ," Crime, Drama, Mystery",7.8," Brendan Gleeson, Holland Taylor, Jharrel Jerome, Breeda Wool"," 22,409"
200,Medici,2016–2019,TV-14 , 60 min ," Biography, Drama, History",7.9," Daniel Sharman, Alessandra Mastronardi, Synnove Karlsen, Sebastian De Souza"," 19,616"
201,Dead End,2022,,,"Comedy, Crime, Drama",5.9," Juliusz Chrzastowski, Lukasz Garlicki, Anna Ilczuk, Jasmina Polak", 155
202,Search Party,2016–2022,TV-MA , 24 min ," Comedy, Crime, Drama",7.7," Alia Shawkat, John Reynolds, John Early, Meredith Hagner"," 11,654"
203,Queen of the South,2016–2021,TV-MA , 42 min ," Action, Crime, Drama",8.0," Alice Braga, Hemky Madera, Peter Gadiot, Veronica Falcón"," 30,664"
204,MI-5,2002–2011,TV-14 , 60 min ," Action, Crime, Drama",8.3," Peter Firth, Hugh Simon, Nicola Walker, Rupert Penry-Jones"," 16,717"
205,Am I Being Unreasonable?,2022– ,,29 min ," Comedy, Thriller",7.8," Daisy May Cooper, Lenny Rush, Selin Hizli, Dustin Demri-Burns"," 1,848"
206,Shining Girls,2022– ,TV-MA , 54 min ," Crime, Drama, Mystery",7.5," Elisabeth Moss, Wagner Moura, Phillipa Soo, Chris Chalk"," 14,300"
207,Pieces of Her,2022– ,TV-MA , 52 min ," Crime, Drama, Mystery",6.3," Toni Collette, Bella Heathcote, Jessica Barden, Joe Dempsie"," 26,375"
208,Bloodlands,2021– ,TV-MA , 60 min ," Crime, Drama, Thriller",6.6," James Nesbitt, Lola Petticrew, Lorcan Cranitch, Charlene McKenna"," 5,558"
209,Departure,2019–2022,TV-14 , 45 min ," Drama, Mystery, Thriller",7.1," Archie Panjabi, Kris Holden-Ried, Mark Rendall, Karen LeBlanc"," 15,330"
210,Resident Evil,2022,TV-MA , 60 min ," Action, Horror, Sci-Fi",4.1," Ella Balinska, Tamara Smart, Siena Agudong, Adeline Rudolph"," 40,569"
211,The Suspect,2022– ,TV-14 , 60 min ," Drama, Mystery, Thriller",6.7," Aidan Turner, Shaun Parkes, Camilla Beeput, Anjli Mohindra"," 1,896"
212,Pretty Little Liars: Original Sin,2022– ,TV-MA ,," Drama, Mystery, Romance",7.1," Jordan Gonzalez, Bailee Madison, Chandler Kinney, Zaria"," 6,291"
213,Travelers,2016–2018,TV-MA , 45 min ," Drama, Mystery, Sci-Fi",8.0," Eric McCormack, MacKenzie Porter, Nesta Cooper, Jared Abrahamson"," 57,081"
214,Tehran,2020– ,TV-MA , 45 min ," Action, Crime, Drama",7.6," Niv Sultan, Shaun Toub, Shervin Alenabi, Shila Ommi"," 18,934"
215,JAG,1995–2005,TV-14 , 60 min ," Action, Crime, Drama",6.6," David James Elliott, Catherine Bell, Patrick Labyorteaux, John M. Jackson"," 18,720"
216,Covert Affairs,2010–2014,TV-PG , 60 min ," Action, Crime, Drama",7.3," Piper Perabo, Christopher Gorham, Kari Matchett, Peter Gallagher"," 29,911"
217,The Rockford Files,1974–1980,TV-PG , 50 min ," Crime, Drama, Mystery",8.2," James Garner, Noah Beery Jr., Joe Santos, Luis Delgado"," 9,401"
218,Castle Rock,2018–2019,TV-MA , 60 min ," Drama, Fantasy, Horror",7.5," Bill Skarsgård, André Holland, Lizzy Caplan, Melanie Lynskey"," 46,517"
219,The Strain,2014–2017,TV-MA , 43 min ," Drama, Fantasy, Horror",7.3," Corey Stoll, David Bradley, Kevin Durand, Jonathan Hyde"," 81,816"
220,Trapped,2015– ,TV-14 , 60 min ," Crime, Drama, Mystery",8.0," Ólafur Darri Ólafsson, Ilmur Kristjánsdóttir, Björn Hlynur Haraldsson, Guðjón Pedersen"," 22,331"
221,Happy!,2017–2019,TV-MA , 60 min ," Action, Comedy, Crime",8.1," Christopher Meloni, Ritchie Coster, Lili Mirojnick, Patton Oswalt"," 39,425"
222,Without a Trace,2002–2009,TV-14 , 60 min ," Crime, Drama, Mystery",6.9," Anthony LaPaglia, Poppy Montgomery, Enrique Murciano, Eric Close"," 20,357"
223,Top of the Lake,2013–2017,TV-MA , 60 min ," Crime, Drama, Mystery",7.4," Elisabeth Moss, David Wenham, Peter Mullan, Thomas M. Wright"," 35,968"
224,Archive 81,2022,TV-MA , 60 min ," Drama, Horror, Mystery",7.3," Mamoudou Athie, Dina Shihabi, Evan Jonigkeit, Julia Chan"," 50,064"
225,Manhunt,II) (2017–2020,TV-14 , 60 min ," Biography, Crime, Drama",8.1," Gethin Anthony, Arliss Howard, Kelly Jenrette, Cameron Britton"," 60,117"
226,Dr. Death,2021–2023,TV-MA , 403 min ," Crime, Drama, Thriller",7.6," Joshua Jackson, Christian Slater, Alec Baldwin, Dominic Burgess"," 12,906"
227,Warehouse 13,2009–2014,TV-14 , 43 min ," Drama, Mystery, Sci-Fi",7.6," Eddie McClintock, Joanne Kelly, Saul Rubinek, Allison Scagliotti"," 54,018"
228,Insatiable,2018–2019,TV-MA , 45 min ," Comedy, Drama, Thriller",6.5," Dallas Roberts, Debby Ryan, Christopher Gorham, Kimmy Shields"," 29,106"
229,Sneaky Pete,2015–2019,TV-MA , 60 min ," Crime, Thriller",8.1," Giovanni Ribisi, Marin Ireland, Shane McRae, Libe Barer"," 37,142"
230,The Lazarus Project,2022– ,,45 min ," Action, Drama, Fantasy",7.1," Paapa Essiedu, Anjli Mohindra, Rudi Dharmalingam, Caroline Quentin"," 3,366"
231,The Following,2013–2015,TV-14 , 43 min ," Crime, Drama, Horror",7.4," Kevin Bacon, James Purefoy, Shawn Ashmore, Valorie Curry"," 88,670"
232,Lovecraft Country,2020,TV-MA , 60 min ," Drama, Fantasy, Horror",7.1," Jonathan Majors, Jurnee Smollett, Courtney B. Vance, Michael Kenneth Williams"," 42,186"
233,Wentworth,2013–2021,TV-MA , 45 min ," Crime, Drama, Thriller",8.6," Kate Atkinson, Katrina Milosevic, Robbie Magasiva, Jacquie Brennan"," 22,533"
234,McDonald & Dodds,2020– ,Not Rated , 90 min ," Comedy, Crime, Mystery",7.5," Jason Watkins, Tala Gouveia, Lily Sacofsky, Jack Riddiford"," 5,174"
235,Mission: Impossible,1966–1973,TV-PG ,," Action, Adventure, Crime",7.9," Peter Graves, Barbara Bain, Greg Morris, Peter Lupus"," 10,012"
236,Between,2015–2016,TV-14 , 60 min ," Drama, Mystery, Sci-Fi",5.9," Jennette McCurdy, Jesse Carere, Justin Kelly, Kyle Mac"," 9,331"
237,Ragnarok,2020– ,TV-MA , 45 min ," Action, Drama, Fantasy",7.5," David Stakston, Jonas Strand Gravli, Herman Tømmeraas, Theresa Frostad Eggesbø"," 38,290"
238,Kleo,2022– ,TV-MA , 44 min ," Action, Crime, Drama",7.4," Jella Haase, Dimitrij Schaad, Vincent Redetzki, Vladimir Burlakov"," 8,023"
239,Lethal Weapon,2016–2019,TV-14 , 44 min ," Action, Comedy, Crime",7.8," Damon Wayans, Keesha Sharp, Kevin Rahm, Michelle Mitchenor"," 38,463"
240,Ratched,2020– ,TV-MA , 60 min ," Crime, Drama, History",7.3," Sarah Paulson, Finn Wittrock, Cynthia Nixon, Judy Davis"," 58,620"
241,Utopia,I) (2013–2014,TV-MA , 50 min ," Drama, Mystery, Sci-Fi",8.4," Adeel Akhtar, Paul Higgins, Neil Maskell, Fiona O'Shaughnessy"," 47,213"
242,In the Heat of the Night,1988–1995,TV-14 , 60 min ," Crime, Drama, Mystery",7.5," Carroll O'Connor, Alan Autry, David Hart, Hugh O'Connor"," 5,440"
243,Profilage,2009–2020,TV-MA , 52 min ," Crime, Thriller",7.5," Jean-Michel Martial, Raphaël Ferret, Philippe Bas, Valérie Dashwood"," 1,526"
244,Alfred Hitchcock Presents,1955–1962,TV-14 , 25 min ," Comedy, Crime, Drama",8.5," Alfred Hitchcock, Harry Tyler, John Williams, Patricia Hitchcock"," 17,597"
245,Çukur,2017–2021,TV-14 , 120 min ," Action, Crime, Thriller",7.5," Aras Bulut Iynemli, Erkan Kolçak Köstendil, Riza Kocaoglu, Cem Uslu"," 16,373"
246,Astrid et Raphaëlle,2019– ,,52 min ," Crime, Thriller",7.9," Sara Mortensen, Lola Dewaere, Benoît Michel, Jean-Louis Garçon"," 1,312"
247,Orphan Black,2013–2017,TV-MA , 44 min ," Drama, Sci-Fi, Thriller",8.3," Tatiana Maslany, Dylan Bruce, Jordan Gavaris, Kevin Hanchard"," 111,540"
248,Our Girl,2013–2020,TV-14 , 60 min ," Action, Drama, Thriller",7.6," Michelle Keegan, Sean Ward, Ben Aldridge, Rolan Bell"," 4,202"
249,Kingdom,2019– ,TV-MA , 45 min ," Action, Drama, Horror",8.3," Ju Ji-Hoon, Bae Doona, Kim Sungkyu, Kim Hye-jun"," 46,823"
250,Ash vs Evil Dead,2015–2018,TV-MA , 30 min ," Action, Comedy, Fantasy",8.4," Bruce Campbell, Ray Santiago, Dana DeLorenzo, Lucy Lawless"," 73,992"
251,Sleepy Hollow,2013–2017,TV-14 , 45 min ," Action, Adventure, Crime",7.3," Tom Mison, Lyndie Greenwood, Nicole Beharie, Orlando Jones"," 61,540"
252,Them,2021– ,TV-MA , 45 min ," Drama, Horror, Thriller",7.4," Deborah Ayorinde, Ashley Thomas, Shahadi Wright Joseph, Alison Pill"," 20,048"
253,Motherland: Fort Salem,2020–2022,TV-14 , 42 min ," Drama, Fantasy, Sci-Fi",7.3," Taylor Hickson, Amalia Holm, Demetria McKinney, Jessica Sutton"," 16,722"
254,Southland,2009–2013,TV-MA , 42 min ," Crime, Drama, Thriller",8.5," Michael Cudlitz, Shawn Hatosy, Regina King, Ben McKenzie"," 27,062"
255,Monster,2004–2005,TV-14 , 24 min ," Animation, Crime, Drama",8.7," Hidenobu Kiuchi, Liam O'Brien, Mamiko Noto, Karen Strassman"," 31,366"
256,Revolution,2012–2014,TV-14 , 43 min ," Action, Adventure, Drama",6.6," Billy Burke, Tracy Spiridakos, Giancarlo Esposito, Zak Orth"," 83,996"
257,Mannix,1967–1975,TV-PG , 60 min ," Action, Crime, Drama",7.4," Mike Connors, Gail Fisher, Ward Wood, Ron Nyman"," 3,698"
258,Falling Skies,2011–2015,TV-14 , 42 min ," Action, Adventure, Drama",7.1," Noah Wyle, Drew Roy, Maxim Knight, Will Patton"," 89,920"
259,Glitch,2015–2019,TV-MA , 45 min ," Drama, Horror, Sci-Fi",7.2," Patrick Brammall, Emma Booth, Sean Keenan, Hannah Monson"," 18,547"
260,The Society,2019,TV-MA , 58 min ," Drama, Mystery, Sci-Fi",7.1," Kathryn Newton, Gideon Adlon, Sean Berdy, Natasha Liu Bordizzo"," 30,732"
261,The Chelsea Detective,2022– ,TV-14 , 90 min ," Crime, Mystery, Thriller",7.3," Peter Bankolé, Adrian Scarborough, Lucy Phelps, Sophie Stone"," 2,784"
262,Numb3rs,2005–2010,TV-PG , 43 min ," Crime, Drama, Mystery",6.9," Rob Morrow, David Krumholtz, Judd Hirsch, Alimi Ballard"," 43,095"
263,Torchwood,2006–2011,TV-MA , 50 min ," Action, Drama, Mystery",7.7," John Barrowman, Eve Myles, Kai Owen, Gareth David-Lloyd"," 41,403"
264,Prodigal Son,2019–2021,TV-14 , 44 min ," Crime, Drama, Mystery",7.7," Tom Payne, Lou Diamond Phillips, Halston Sage, Aurora Perrineau"," 21,196"
265,The Twilight Zone,2019–2020,TV-MA , 60 min ," Drama, Fantasy, Horror",5.9," Jordan Peele, David Epstein, Kelly Ann Woods, Mark Silverman"," 16,227"
266,The Lost Symbol,2021,TV-PG , 45 min ," Action, Adventure, Drama",6.4," Ashley Zukerman, Eddie Izzard, Valorie Curry, Beau Knapp"," 11,722"
267,Under the Dome,2013–2015,TV-14 , 43 min ," Drama, Mystery, Sci-Fi",6.5," Mike Vogel, Rachelle Lefevre, Alexander Koch, Colin Ford"," 107,030"
268,Suspicion,2022,TV-MA , 46 min ," Crime, Drama, Thriller",6.2," Kunal Nayyar, Georgina Campbell, Elizabeth Henstridge, Angel Coulby"," 7,755"
269,Alex Rider,2020– ,TV-14 , 45 min ," Action, Adventure, Drama",7.5," Otto Farrant, Vicky McClure, Brenock O'Connor, Ronke Adekoluejo"," 15,307"
270,Vigil,2021– ,TV-MA , 60 min ," Crime, Drama, Mystery",7.4," Suranne Jones, Rose Leslie, Shaun Evans, Paterson Joseph"," 21,259"
271,12 Monkeys,2015–2018,TV-14 , 42 min ," Adventure, Drama, Mystery",7.7," Aaron Stanford, Amanda Schull, Noah Bean, Barbara Sukowa"," 45,245"
272,Little Women,2022– ,TV-MA , 75 min ," Action, Drama, Mystery",8.0," Kim Go-eun, Nam Ji-hyun, Wi Ha-joon, Uhm Ji-won"," 3,444"
273,Counterpart,2017–2019,TV-MA , 60 min ," Drama, Sci-Fi, Thriller",8.0," J.K. Simmons, Olivia Williams, Harry Lloyd, Nazanin Boniadi"," 27,785"
274,Inside No. 9,2014– ,TV-MA , 30 min ," Comedy, Crime, Drama",8.5," Reece Shearsmith, Steve Pemberton, Derek Jacobi, Aimee-Ffion Edwards"," 17,163"
275,Nikita,2010–2013,TV-14 , 60 min ," Action, Crime, Drama",7.7," Maggie Q, Shane West, Lyndsy Fonseca, Aaron Stanford"," 51,711"
276,Medium,2005–2011,TV-14 , 60 min ," Crime, Drama, Fantasy",7.1," Patricia Arquette, Miguel Sandoval, Jake Weber, Sofia Vassilieva"," 28,734"
277,Tales from the Crypt,1989–1996,TV-MA , 25 min ," Comedy, Crime, Fantasy",8.0," John Kassir, Roy Brocksmith, Miguel Ferrer, Cam Clarke"," 24,858"
278,Into the Dark,2018–2021,TV-MA , 90 min ," Drama, Fantasy, Horror",6.3," Aurora Perrineau, Diane Sellers, Dylan Arnold, Katie Wilson"," 4,895"
279,Sweet Home,2020– ,TV-MA , 52 min ," Drama, Fantasy, Horror",7.3," Song Kang, Lee Jin-Wook, Lee Si-young, Lee Do-Hyun"," 21,874"
280,The Outer Limits,1995–2002,TV-PG , 44 min ," Drama, Fantasy, Horror",7.7," Kevin Conway, Alex Diakun, Eric Schneider, Garvin Cross"," 12,752"
281,The Chestnut Man,2021– ,TV-MA , 50 min ," Crime, Drama, Mystery",7.7," Danica Curcic, David Dencik, Esben Dalgaard Andersen, Mikkel Boe Følsgaard"," 45,748"
282,Brave New World,2020,TV-MA , 415 min ," Drama, Sci-Fi, Thriller",7.0," Alden Ehrenreich, Jessica Brown Findlay, Harry Lloyd, Nina Sosanya"," 15,020"
283,Condor,2018–2020,TV-MA , 60 min ," Action, Drama, Thriller",7.7," Max Irons, Kristen Hager, Bob Balaban, Sam McCarthy"," 15,662"
284,The Tourist,2022,TV-MA , 58 min ," Drama, Mystery, Thriller",7.0," Jamie Dornan, Danielle Macdonald, Shalom Brune-Franklin, Ólafur Darri Ólafsson"," 17,168"
285,Luke Cage,2016–2018,TV-MA , 55 min ," Action, Crime, Drama",7.3," Mike Colter, Simone Missick, Theo Rossi, Alfre Woodard"," 131,813"
286,Creepshow,2019– ,TV-MA , 44 min ," Fantasy, Horror, Mystery",7.0," Hannah Fierman, Kara Kimmer, David Alexander Kaplan, Fayna Sanchez"," 7,490"
287,Damages,2007–2012,TV-MA , 60 min ," Crime, Drama, Mystery",8.1," Glenn Close, Rose Byrne, Tate Donovan, Zachary Booth"," 30,296"
288,V,2009–2011,TV-14 , 42 min ," Drama, Sci-Fi, Thriller",6.8," Elizabeth Mitchell, Morris Chestnut, Joel Gretsch, Logan Huffman"," 56,660"
289,Black Spot,2017– ,TV-MA , 52 min ," Crime, Drama, Horror",7.4," Suliane Brahim, Hubert Delattre, Laurent Capelluto, Samuel Jouy"," 11,741"
290,Made for Love,2021–2022,TV-MA , 30 min ," Comedy, Drama, Sci-Fi",6.9," Cristin Milioti, Billy Magnussen, Ray Romano, Dan Bakkedahl"," 11,123"
291,Riding in Darkness,2022– ,,44 min ," Drama, Thriller",8.1," Jonas Karlsson, Hanna Ardéhn, Melinda Kinnaman, Amanda Jansson", 159
292,Wayward Pines,2015–2016,TV-14 , 60 min ," Drama, Mystery, Sci-Fi",7.3," Siobhan Fallon Hogan, Toby Jones, Shannyn Sossamon, Hope Davis"," 56,546"
293,Scam 1992: The Harshad Mehta Story,2020,TV-14 , 54 min ," Biography, Crime, Drama",9.3," Pratik Gandhi, Shreya Dhanwanthary, Hemant Kher, Anjali Barot"," 144,344"
294,Absentia,2017–2020,TV-MA , 60 min ," Crime, Drama, Mystery",7.2," Stana Katic, Patrick Heusinger, Neil Jackson, Paul Freeman"," 15,826"
295,My Name,2021,TV-MA , 50 min ," Action, Crime, Drama",7.8," Hee-soon Park, Ahn Bo-Hyun, Han So-hee, Kim Sang-Ho"," 22,070"
296,Sword Art Online,2012– ,TV-14 , 24 min ," Animation, Action, Adventure",7.5," Yoshitsugu Matsuoka, Haruka Tomatsu, Bryce Papenbrook, Cherami Leigh"," 46,312"
297,Cruel Summer,2021– ,TV-14 , 45 min ," Drama, Mystery, Thriller",7.5," Chiara Aurelia, Olivia Holt, Froy Gutierrez, Harley Quinn Smith"," 14,743"
298,The Ex-Wife,2022,,45 min ," Drama, Mystery, Thriller",6.5," Celine Buckens, Tom Mison, Janet Montgomery, Jordan Stephens", 520
299,Parasyte: The Maxim,2014–2015,TV-MA , 22 min ," Animation, Action, Drama",8.3," Aya Hirano, Nobunaga Shimazaki, Rinka H.B.B., Brittney Karbowski"," 38,487"
300,Gypsy,2017,TV-MA , 51 min ," Drama, Thriller",6.8," Naomi Watts, Billy Crudup, Sophie Cookson, Karl Glusman"," 17,186"
301,The Responder,2022– ,TV-MA , 57 min ," Crime, Drama, Thriller",7.4," Martin Freeman, Romi Hyland-Rylands, MyAnna Buring, Adelayo Adedayo"," 10,138"
302,Vienna Blood,2019– ,TV-14 , 45 min ," Crime, Drama, History",7.5," Matthew Beard, Juergen Maurer, Charlene McKenna, Conleth Hill"," 6,008"
303,Flower of Evil,2020–2022,TV-14 , 70 min ," Crime, Mystery, Romance",8.7," Lee Joon-Gi, Moon Chae-Won, Seo Hyun-woo, Choi Dae-hoon"," 8,639"
304,Hunter,I) (1984–1991,TV-PG , 48 min ," Action, Crime, Drama",6.8," Fred Dryer, Stepfanie Kramer, Charles Hallahan, Perry Cook"," 4,988"
305,Steins;Gate,2011–2015,TV-14 , 24 min ," Animation, Comedy, Drama",8.8," Mamoru Miyano, Asami Imai, Kana Hanazawa, Ashly Burch"," 62,652"
306,Fortitude,2015–2018,TV-MA , 60 min ," Drama, Horror, Mystery",7.3," Richard Dormer, Björn Hlynur Haraldsson, Sienna Guillory, Mia Jexen"," 21,918"
